metodo,rota,operacao,codec,usado_por
POST,/v1/auth/login,Autenticar,model/auth/api.ts::login,LoginForm.island
GET,/v1/account,Perfil próprio,model/account/api.ts::getAccount,+guard.ts / viewmodel/account/queries/get-account.query
PUT,/v1/account,Atualizar conta,model/account/api.ts::updateAccount,AccountForm.island
PUT,/v1/account/password,Trocar senha,model/account/api.ts::changePassword,PasswordChange.island
GET,/v1/metrics,Métricas,model/metrics/api.ts::getMetrics,viewmodel/metrics/queries/get-metrics.query
GET,/v1/containers,Listar contêineres,model/containers/api.ts::listContainers,viewmodel/containers/queries/list-containers.query
POST,/v1/containers,Criar contêiner,model/containers/api.ts::createContainer,ContainerForm.island
GET,/v1/containers/{id},Obter contêiner,model/containers/api.ts::getContainer,viewmodel/containers/queries/get-container.query
PUT,/v1/containers/{id},Atualizar contêiner,model/containers/api.ts::updateContainer,ContainerForm.island
DELETE,/v1/containers/{id},Remover contêiner,model/containers/api.ts::deleteContainer,ContainerActions.island
POST,/v1/containers/{id}/seal,Lacrar,model/containers/api.ts::sealContainer,ContainerActions.island
POST,/v1/containers/{id}/dispatch,Despachar,model/containers/api.ts::dispatchContainer,ContainerActions.island
GET,/v1/containers/summary,Resumos,model/containers/api.ts::listContainerSummaries,viewmodel/containers/queries/get-container-summary.query
POST,/v1/manifests/load-item,Carregar item,model/containers/api.ts::loadItem,ManifestEditor.island
POST,/v1/manifests/unload-item,Descarregar item,model/containers/api.ts::unloadItem,ManifestEditor.island
GET,/v1/products,Listar produtos,model/products/api.ts::listProducts,viewmodel/products/queries/list-products.query
POST,/v1/products,Criar produto,model/products/api.ts::createProduct,ProductForm.island
GET,/v1/products/{id},Obter produto,model/products/api.ts::getProduct,viewmodel/products/queries/get-product.query
PUT,/v1/products/{id},Atualizar produto,model/products/api.ts::updateProduct,ProductForm.island
DELETE,/v1/products/{id},Remover produto,model/products/api.ts::deleteProduct,ProductForm.island
GET,/v1/users,Listar usuários,model/users/api.ts::listUsers,viewmodel/users/queries/list-users.query
POST,/v1/users,Criar usuário,model/users/api.ts::createUser,UserForm.island
GET,/v1/users/{id},Obter usuário,model/users/api.ts::getUser,viewmodel/users/queries/get-user.query
PUT,/v1/users/{id},Atualizar usuário,model/users/api.ts::updateUser,UserForm.island
DELETE,/v1/users/{id},Remover usuário,model/users/api.ts::deleteUser,UserAdminActions.island
PUT,/v1/users/{id}/password,Reset de senha,model/users/api.ts::resetUserPassword,UserAdminActions.island
PUT,/v1/users/{id}/roles,Atualizar perfis,model/users/api.ts::updateUserRoles,UserForm.island
GET,/v1/roles,Listar perfis,model/roles/api.ts::listRoles,viewmodel/roles/queries/list-roles.query
POST,/v1/roles,Criar perfil,model/roles/api.ts::createRole,RoleForm.island
PUT,/v1/roles/{id}/permissions,Sincronizar permissões,model/roles/api.ts::updateRolePermissions,RoleForm.island
