route,tipo,auth,pagina,data_loader,islands
/,redirect,-,pages/+config.js (→ /painel),-,-
/entrar,form,publica,pages/entrar/+Page.tsx,viewmodel/auth/mutations/sign-in.mutation,LoginForm.island
/painel,dashboard,protegida,pages/painel/+Page.tsx,viewmodel/metrics/queries/get-metrics.query,OccupancyChart.island
/painel/conteineres,lista,protegida,pages/painel/conteineres/+Page.tsx,viewmodel/containers/queries/list-containers.query,-
/painel/conteineres/nova,form,protegida,pages/painel/conteineres/nova/+Page.tsx,-,ContainerForm.island
/painel/conteineres/@id,detalhe/resumo,protegida,pages/painel/conteineres/@id/+Page.tsx,getContainerSummary + listProducts,ContainerActions.island / ManifestEditor.island
/painel/conteineres/@id/editar,form,protegida,pages/painel/conteineres/@id/editar/+Page.tsx,viewmodel/containers/queries/get-container.query,ContainerForm.island
/painel/produtos,lista,protegida,pages/painel/produtos/+Page.tsx,viewmodel/products/queries/list-products.query,-
/painel/produtos/nova,form,protegida,pages/painel/produtos/nova/+Page.tsx,-,ProductForm.island
/painel/produtos/@id/editar,form,protegida,pages/painel/produtos/@id/editar/+Page.tsx,viewmodel/products/queries/get-product.query,ProductForm.island (+ ConfirmDialog)
/painel/usuarios,lista,protegida,pages/painel/usuarios/+Page.tsx,viewmodel/users/queries/list-users.query,-
/painel/usuarios/nova,form,protegida,pages/painel/usuarios/nova/+Page.tsx,listRoles,UserForm.island
/painel/usuarios/@id/editar,form,protegida,pages/painel/usuarios/@id/editar/+Page.tsx,getUser + listRoles,UserForm.island / UserAdminActions.island
/painel/perfis,lista,protegida,pages/painel/perfis/+Page.tsx,viewmodel/roles/queries/list-roles.query,-
/painel/perfis/nova,form,protegida,pages/painel/perfis/nova/+Page.tsx,-,RoleForm.island (PermissionMatrix)
/painel/perfis/@id/permissoes,form,protegida,pages/painel/perfis/@id/permissoes/+Page.tsx,listRoles (busca por id),RoleForm.island (PermissionMatrix)
/painel/conta,perfil+form,protegida,pages/painel/conta/+Page.tsx,viewmodel/account/queries/get-account.query,AccountForm.island / PasswordChange.island
